Date,AAPL,ABBV,AMD,AMZN,APD,BA,BAC,CAT,CMCSA,COST,DE,DIS,DUK,EOG,EQR,FCX,GD,GEV,GOOG,HON,HOOD,INTC,JPM,KO,LIN,LMT,MCD,MDT,META,MLM,MO,MRNA,MS,MSFT,NEE,NEM,NFLX,NVDA,PCT,PEP,PFE,PG,PLD,PLTR,PSA,SBUX,SCHW,SLB,SPG,TEM,TGT,TMUS,TSLA,UNH,V,VZ,WELL,WMT,XOM,ZG
2023-05-26,174.1099395751953,128.7388916015625,127.02999877929688,120.11000061035156,261.8462219238281,203.6300048828125,26.947473526000977,205.6092987060547,37.49713897705078,491.26983642578125,348.31219482421875,87.21260833740234,83.30379486083984,103.55157470703125,55.562435150146484,33.940555572509766,197.6969757080078,,124.98092651367188,187.56292724609375,8.819999694824219,28.420703887939453,131.1834716796875,57.120513916015625,348.4169921875,428.15179443359375,274.66632080078125,77.51403045654297,261.0428161621094,395.0724182128906,38.44744873046875,126.23999786376953,79.24105834960938,329.05322265625,70.7583999633789,38.50897216796875,378.8800048828125,38.9243049621582,7.039999961853027,174.08810424804688,34.01505661010742,139.24655151367188,118.55072784423828,13.649999618530273,266.9364013671875,94.99402618408203,52.444252014160156,42.766414642333984,92.83840942382812,,132.40882873535156,132.60630798339844,193.1699981689453,468.7289123535156,222.41053771972656,31.01311683654785,70.81822204589844,47.87991714477539,99.769775390625,44.09000015258789
2023-05-30,175.9658660888672,127.69075012207031,125.2699966430664,121.66000366210938,262.07574462890625,204.69000244140625,26.899879455566406,203.76483154296875,37.19321060180664,492.0155944824219,341.8961486816406,86.74833679199219,82.65577697753906,102.31970977783203,55.91645431518555,33.4134407043457,197.68736267089844,,124.19375610351562,188.33737182617188,8.920000076293945,29.39093017578125,131.681640625,56.66552734375,347.1454162597656,427.6935119628906,273.5909118652344,78.50364685058594,261.5210266113281,394.15191650390625,38.197505950927734,128.88999938964844,78.7876968383789,327.3925476074219,69.58101654052734,38.243919372558594,392.9800109863281,40.08865737915039,7.159999847412109,172.21995544433594,33.48130798339844,137.1204833984375,117.94351196289062,14.710000038146973,268.9941101074219,94.24201965332031,52.610374450683594,42.60296630859375,93.8814468383789,,127.55777740478516,132.57687377929688,201.16000366210938,467.1033020019531,219.07945251464844,30.92450714111328,70.42339324951172,47.76219940185547,98.8858413696289,43.900001525878906
2023-05-31,175.916259765625,129.11328125,118.20999908447266,120.58000183105469,257.3614807128906,205.6999969482422,26.452503204345703,199.7361297607422,37.37366485595703,495.4342956542969,337.3619689941406,86.88663482666016,83.85790252685547,100.89037322998047,56.643131256103516,33.52081298828125,196.6663818359375,,122.92831420898438,185.4815673828125,8.920000076293945,30.81196403503418,130.00518798828125,56.55177688598633,345.9227600097656,426.77081298828125,273.7732849121094,78.75105285644531,263.712646484375,394.6178283691406,38.28369140625,127.70999908447266,77.21988677978516,324.6050720214844,70.31808471679688,38.769775390625,395.2300109863281,37.812923431396484,6.889999866485596,172.92169189453125,34.39500427246094,136.46926879882812,118.17123413085938,14.710000038146973,263.7799377441406,94.1359634399414,51.48663330078125,41.17997360229492,95.36888885498047,,124.78435516357422,134.66677856445312,203.92999267578125,474.2970275878906,218.4765167236328,31.571352005004883,71.84862518310547,48.02707290649414,97.11799621582031,44.790000915527344
2023-06-01,178.73487854003906,124.88311767578125,119.47000122070312,122.7699966430664,261.21514892578125,207.9600067138672,26.653989791870117,202.95909118652344,37.07923889160156,496.4414978027344,343.7878112792969,87.50894165039062,82.75908660888672,101.69908142089844,57.39774703979492,34.62385559082031,197.77406311035156,,123.92472839355469,187.66941833496094,9.020000457763672,30.508155822753906,131.7965850830078,56.87406539916992,348.9708251953125,432.2110595703125,276.4235534667969,78.74153900146484,271.5726013183594,400.9231872558594,38.421592712402344,128.52000427246094,77.5126724243164,328.74676513671875,69.83946228027344,40.60548400878906,403.1300048828125,39.747840881347656,7.0,173.97686767578125,34.39500427246094,137.86749267578125,116.35904693603516,14.539999961853027,263.9010009765625,94.02027130126953,51.49641036987305,43.24715042114258,93.78166961669922,,125.00357818603516,136.29554748535156,207.52000427246094,480.5172424316406,223.88330078125,31.651098251342773,71.84862518310547,48.203651428222656,98.23954010009766,45.150001525878906
2023-06-02,179.58840942382812,128.09315490722656,117.86000061035156,124.25,268.7406921386719,213.32000732421875,27.546293258666992,220.00582885742188,37.22170639038086,496.4318542480469,361.8269958496094,89.66233825683594,84.22416687011719,105.24420166015625,58.77656173706055,36.30282211303711,201.39566040039062,,124.78165435791016,192.50006103515625,9.34000015258789,30.684558868408203,134.5651092529297,57.9736328125,353.8594970703125,436.8439025878906,279.86016845703125,79.70262145996094,271.5726013183594,411.5113220214844,39.06798553466797,130.50999450683594,79.66606903076172,331.5342712402344,70.69140625,40.24216842651367,400.4700012207031,39.30508804321289,7.559999942779541,175.76255798339844,34.702598571777344,140.31912231445312,118.52227783203125,14.520000457763672,268.5192565917969,95.92920684814453,53.12826919555664,44.96818923950195,96.6023941040039,,126.96688079833984,128.72085571289062,213.97000122070312,486.3092041015625,226.1468505859375,30.640962600708008,72.95606231689453,48.664730072021484,100.52063751220703,45.7599983215332
2023-06-05,178.2287139892578,128.08380126953125,117.93000030517578,125.30000305175781,267.5357971191406,208.77999877929688,27.38318634033203,215.96742248535156,37.791568756103516,501.9134521484375,354.591796875,89.88953399658203,84.67497253417969,104.99031829833984,59.074684143066406,36.15639877319336,201.5498046875,,126.1766357421875,190.88339233398438,9.029999732971191,29.263526916503906,133.2430877685547,57.584999084472656,356.1565856933594,437.0361022949219,278.4314880371094,79.674072265625,270.3572692871094,413.4842834472656,38.47330093383789,128.89999389648438,79.08992767333984,332.0680847167969,70.44251251220703,40.079627990722656,403.5400085449219,39.1491813659668,7.75,175.88673400878906,34.964942932128906,139.76368713378906,118.24713134765625,15.239999771118164,263.6402587890625,96.34378051757812,53.16735076904297,44.43937683105469,96.63866424560547,,124.46986389160156,129.73146057128906,217.61000061035156,484.95611572265625,224.15020751953125,30.534622192382812,73.27384185791016,48.985191345214844,100.07392120361328,44.83000183105469
2023-06-06,177.86151123046875,126.74551391601562,124.2300033569336,126.61000061035156,266.3118591308594,207.2899932861328,28.045217514038086,220.0543670654297,37.478145599365234,499.98614501953125,364.3817138671875,91.03538513183594,84.28992462158203,106.08110809326172,59.55913162231445,36.83970260620117,203.05238342285156,,127.45205688476562,190.07020568847656,9.119999885559082,30.341552734375,133.48257446289062,57.16791915893555,353.14288330078125,440.8231506347656,274.67633056640625,79.55036926269531,270.0882568359375,414.50537109375,38.49053955078125,126.9000015258789,81.09222412109375,329.8340759277344,70.24149322509766,40.14655303955078,399.2900085449219,38.63246154785156,8.029999732971191,173.375244140625,34.711639404296875,138.3750457763672,119.38567352294922,15.460000038146973,260.7166442871094,94.69515991210938,53.362789154052734,45.386741638183594,99.01494598388672,,126.47130584716797,126.12071990966797,221.30999755859375,474.6182556152344,225.58343505859375,30.747285842895508,75.73910522460938,48.9786491394043,100.89131927490234,46.619998931884766
2023-06-07,176.4819793701172,127.74691009521484,117.83000183105469,121.2300033569336,270.060302734375,211.92999267578125,28.285083770751953,228.66510009765625,38.32344055175781,495.1147155761719,372.3092041015625,91.39098358154297,85.99919128417969,109.31593322753906,60.369651794433594,36.67375946044922,206.2983856201172,,122.49984741210938,192.05474853515625,9.399999618530273,30.655160903930664,134.7758331298828,57.08260726928711,355.6461181640625,443.8220520019531,272.1277770996094,78.87476348876953,262.596923828125,419.7003479003906,38.869754791259766,125.61000061035156,81.6966781616211,319.6528015136719,70.99771118164062,40.06051254272461,399.7699890136719,37.4579963684082,8.079999923706055,171.99063110351562,35.18206024169922,138.67193603515625,121.50145721435547,14.6899995803833,271.7594299316406,94.40591430664062,54.3594970703125,46.527462005615234,102.21658325195312,,125.5658950805664,124.16818237304688,224.57000732421875,469.3227233886719,222.6675262451172,31.243501663208008,77.4435806274414,49.05059051513672,103.15341186523438,45.7400016784668
2023-06-08,179.21128845214844,128.81381225585938,121.05000305175781,124.25,270.9783020019531,218.11000061035156,28.045217514038086,227.5972442626953,38.43741989135742,503.69549560546875,371.2853698730469,91.40087127685547,86.40303039550781,109.22189331054688,60.77024841308594,36.937320709228516,205.6819305419922,,122.23080444335938,191.82241821289062,9.5,31.184371948242188,134.81414794921875,57.224788665771484,355.56756591796875,446.1480712890625,275.873291015625,79.07457733154297,263.5731506347656,421.74261474609375,39.09383773803711,124.94000244140625,81.5172348022461,321.51116943359375,71.69649505615234,40.19436264038086,409.3699951171875,38.49252700805664,8.079999923706055,173.89093017578125,35.36299133300781,140.24252319335938,118.51278686523438,15.1899995803833,270.22314453125,95.59178161621094,53.773197174072266,45.87009811401367,101.16536712646484,,125.10840606689453,127.86722564697266,234.86000061035156,477.20758056640625,220.47317504882812,31.394132614135742,76.84654235839844,49.76018524169922,102.83025360107422,45.75
2023-06-09,179.5983428955078,129.31915283203125,124.91999816894531,123.43000030517578,266.3979187011719,217.30999755859375,28.08359718322754,228.16029357910156,38.20947265625,500.9739990234375,369.43267822265625,90.80818939208984,85.95223236083984,109.31593322753906,61.655296325683594,36.98612976074219,204.45867919921875,,122.43009948730469,191.5707244873047,9.40999984741211,30.713960647583008,135.0823974609375,57.319580078125,354.1441345214844,444.7255859375,276.8482971191406,79.674072265625,263.9417724609375,423.5866394042969,38.97317886352539,123.26000213623047,81.42278289794922,323.0235290527344,70.90198516845703,39.63982391357422,420.0199890136719,38.75241470336914,7.820000171661377,174.12965393066406,35.25442886352539,140.357421875,115.09715270996094,15.020000457763672,267.0853271484375,94.4444808959961,53.74388122558594,45.94743728637695,102.0782699584961,,121.02930450439453,128.88763427734375,244.39999389648438,480.5074768066406,220.97727966308594,31.42957878112793,78.09841918945312,50.061038970947266,102.06989288330078,44.13999938964844
