Date,AAPL,AMD,CAT,GOOGL,HD,JPM,META,MSFT,NEE,NVDA,PLD,UNH,V,WMT,XOM
2023-01-03,123.76847076416016,64.0199966430664,230.39259338378906,88.79810333251953,300.0089111328125,127.49031066894531,124.26531219482422,235.71170043945312,79.22112274169922,14.304594993591309,106.1435317993164,503.0710754394531,204.19528198242188,46.589115142822266,99.5962142944336
2023-01-04,125.0450210571289,64.66000366210938,232.7845001220703,87.76185607910156,303.6365966796875,128.67919921875,126.88532257080078,225.40090942382812,79.8448257446289,14.738280296325684,110.16546630859375,489.3555603027344,209.33485412597656,46.64101791381836,99.88610076904297
2023-01-05,123.71897888183594,62.33000183105469,231.7428741455078,85.8886489868164,299.5910949707031,128.6506805419922,126.45693969726562,218.72056579589844,78.08708953857422,14.254631996154785,106.29424285888672,475.2519836425781,207.85797119140625,46.482051849365234,102.1209487915039
2023-01-06,128.27108764648438,63.959999084472656,240.01800537109375,87.02452087402344,301.54736328125,131.11245727539062,129.5252227783203,221.2982635498047,79.05101776123047,14.848199844360352,109.87348175048828,475.2908020019531,214.39569091796875,47.62081527709961,103.35527801513672
2023-01-09,128.79559326171875,67.23999786376953,237.85757446289062,87.70206451416016,301.81329345703125,130.57069396972656,128.97732543945312,223.45286560058594,79.44792175292969,15.616641998291016,109.3177490234375,475.3490295410156,215.23257446289062,47.027103424072266,101.42899322509766
2023-01-10,129.36953735351562,68.05000305175781,241.609375,88.10062408447266,304.4913330078125,131.73980712890625,132.48391723632812,225.1549530029297,79.89208221435547,15.897438049316406,109.308349609375,471.4109191894531,217.68423461914062,46.997901916503906,102.94383239746094
2023-01-11,132.100830078125,69.05999755859375,241.82156372070312,91.18942260742188,312.4400634765625,132.7187957763672,132.38429260253906,231.96322631835938,80.32679748535156,15.989368438720703,113.92367553710938,478.5887451171875,218.6786651611328,47.40993118286133,104.14075469970703
2023-01-12,132.0216522216797,70.80000305175781,246.0073699951172,90.80083465576172,313.2662048339844,132.5857391357422,136.18975830078125,234.6589813232422,80.3929443359375,16.498998641967773,115.02571868896484,480.7906188964844,220.17526245117188,46.98168182373047,105.87065887451172
2023-01-13,133.35760498046875,71.0,249.2769012451172,91.78726959228516,314.53875732421875,135.93150329589844,136.45872497558594,235.36732482910156,80.02438354492188,16.886716842651367,114.81849670410156,474.87371826171875,219.62388610839844,47.13740921020508,105.8051986694336
2023-01-17,134.5253448486328,71.58999633789062,247.15509033203125,90.96026611328125,311.0440368652344,133.83091735839844,134.84490966796875,236.46929931640625,81.0261001586914,17.68913459777832,114.36637878417969,470.51849365234375,219.5648193359375,46.85190200805664,105.5994873046875
2023-01-18,133.80294799804688,70.52999877929688,243.8372802734375,90.79087829589844,307.39727783203125,129.81028747558594,132.51380920410156,232.00257873535156,79.19276428222656,17.364370346069336,115.52493286132812,461.9438781738281,216.079345703125,45.693668365478516,103.43008422851562
2023-01-19,133.8623046875,67.70999908447266,238.14886474609375,92.71391296386719,295.23211669921875,128.0803680419922,135.63189697265625,228.1852264404297,78.04928588867188,16.75281524658203,114.24393463134766,469.82012939453125,217.01470947265625,45.04155349731445,104.093994140625
2023-01-20,136.4352264404297,70.06999969482422,241.98638916015625,97.66594696044922,299.1447448730469,128.39401245117188,138.83963012695312,236.34136962890625,77.32162475585938,17.826034545898438,115.68505096435547,472.1092529296875,220.8546142578125,45.596336364746094,105.99221801757812
2023-01-23,139.64154052734375,76.52999877929688,244.88389587402344,99.4295654296875,299.6005554199219,130.47564697265625,142.7248077392578,238.6632537841797,78.12488555908203,19.17905044555664,118.74625396728516,471.2266540527344,220.7266082763672,46.27764892578125,105.44051361083984
2023-01-24,141.0467529296875,74.69999694824219,249.6420135498047,97.34710693359375,301.6993408203125,131.5972137451172,142.59530639648438,238.1320037841797,79.28727722167969,19.250995635986328,119.05708312988281,476.8428039550781,220.4410858154297,46.40093994140625,106.42234802246094
2023-01-25,140.3837432861328,74.91000366210938,250.44635009765625,94.87606811523438,301.29095458984375,132.2340545654297,140.96153259277344,236.72506713867188,72.37915802001953,19.3089542388916,118.3883285522461,477.7157287597656,221.43553161621094,46.180320739746094,105.86129760742188
2023-01-26,142.46189880371094,75.16000366210938,254.01251220703125,97.16775512695312,298.01458740234375,133.05148315429688,146.7394561767578,243.9957733154297,72.19961547851562,19.787609100341797,120.62065124511719,477.6964111328125,221.24847412109375,46.13813781738281,110.11595916748047
2023-01-27,144.41136169433594,75.4000015258789,256.357666015625,99.01107788085938,300.74969482421875,133.3746795654297,151.16256713867188,244.1531982421875,71.42469787597656,20.35019874572754,122.29724884033203,471.4593505859375,227.87478637695312,46.49177932739258,108.10550689697266
2023-01-30,141.51187133789062,72.44999694824219,253.41172790527344,96.58985900878906,298.4229736328125,132.2435760498047,146.5003662109375,238.79116821289062,70.92383575439453,19.148075103759766,120.3663330078125,471.20721435546875,225.5708465576172,46.11867141723633,106.1885757446289
2023-01-31,142.7884521484375,75.1500015258789,244.486572265625,98.48298645019531,307.8531494140625,133.03248596191406,148.40310668945312,243.808837890625,70.52691650390625,19.522798538208008,121.76976776123047,484.2049560546875,226.66375732421875,46.67670822143555,108.47956085205078
2023-02-01,143.9165802001953,84.63999938964844,241.82164001464844,100.06725311279297,311.5758361816406,132.6807861328125,152.5373077392578,248.66908264160156,70.15836334228516,20.927780151367188,123.29566192626953,482.0806579589844,227.34312438964844,46.93625259399414,107.29198455810547
