Date,AAPL,AMD,CAT,GOOGL,HD,JPM,META,MSFT,NEE,NVDA,PLD,UNH,V,WMT,XOM
2023-01-03,123.7684555053711,64.0199966430664,230.39259338378906,88.79810333251953,300.0089111328125,127.49029541015625,124.26531982421875,235.71170043945312,79.22112274169922,14.304594039916992,106.14352416992188,503.071044921875,204.19528198242188,46.589115142822266,99.5962142944336
2023-01-04,125.0450439453125,64.66000366210938,232.78448486328125,87.76185607910156,303.63665771484375,128.67918395996094,126.88530731201172,225.4009246826172,79.84484100341797,14.738280296325684,110.16545867919922,489.35552978515625,209.33486938476562,46.64101791381836,99.88609313964844
2023-01-05,123.71898651123047,62.33000183105469,231.74285888671875,85.8886489868164,299.5910949707031,128.65066528320312,126.45694732666016,218.72056579589844,78.08708953857422,14.254632949829102,106.29423522949219,475.2520751953125,207.8579559326172,46.48204803466797,102.1209487915039
2023-01-06,128.27110290527344,63.959999084472656,240.0180206298828,87.02452087402344,301.5473327636719,131.1124725341797,129.5252227783203,221.29824829101562,79.05101776123047,14.848199844360352,109.87348175048828,475.29083251953125,214.39569091796875,47.620826721191406,103.35526275634766
2023-01-09,128.79559326171875,67.23999786376953,237.85760498046875,87.70206451416016,301.8132629394531,130.57066345214844,128.97731018066406,223.452880859375,79.44792175292969,15.616642951965332,109.31776428222656,475.3490295410156,215.23260498046875,47.027103424072266,101.42899322509766
2023-01-10,129.36953735351562,68.05000305175781,241.60939025878906,88.10062408447266,304.4913330078125,131.73980712890625,132.4839324951172,225.15496826171875,79.89208984375,15.897438049316406,109.30834197998047,471.4108581542969,217.68421936035156,46.99790573120117,102.94383239746094
2023-01-11,132.10084533691406,69.05999755859375,241.821533203125,91.18942260742188,312.4400329589844,132.7188262939453,132.38430786132812,231.96322631835938,80.3268051147461,15.989368438720703,113.9236831665039,478.5887451171875,218.67868041992188,47.409934997558594,104.1407470703125
2023-01-12,132.02166748046875,70.80000305175781,246.00733947753906,90.80083465576172,313.2662353515625,132.58575439453125,136.18975830078125,234.65899658203125,80.3929443359375,16.498998641967773,115.02571868896484,480.7906494140625,220.1752471923828,46.9816780090332,105.87065124511719
2023-01-13,133.3576202392578,71.0,249.27691650390625,91.78726959228516,314.5387878417969,135.9315185546875,136.458740234375,235.3673553466797,80.0243911743164,16.886714935302734,114.81848907470703,474.8736877441406,219.6238555908203,47.13740539550781,105.8051986694336
2023-01-17,134.52532958984375,71.58999633789062,247.1550750732422,90.96026611328125,311.04400634765625,133.83090209960938,134.84490966796875,236.46926879882812,81.02610778808594,17.689132690429688,114.36637878417969,470.5185241699219,219.56483459472656,46.851905822753906,105.59947967529297
2023-01-18,133.8029327392578,70.52999877929688,243.83731079101562,90.79087829589844,307.3973693847656,129.81027221679688,132.51380920410156,232.00257873535156,79.19277954101562,17.36437225341797,115.5249252319336,461.94384765625,216.079345703125,45.693668365478516,103.4300765991211
2023-01-19,133.86233520507812,67.70999908447266,238.1488800048828,92.71391296386719,295.2320861816406,128.0803680419922,135.6318817138672,228.1852264404297,78.04930114746094,16.75281524658203,114.24394226074219,469.8200988769531,217.0146942138672,45.04154968261719,104.0939712524414
2023-01-20,136.43524169921875,70.06999969482422,241.98638916015625,97.66594696044922,299.14471435546875,128.39402770996094,138.83963012695312,236.3413848876953,77.3216323852539,17.826034545898438,115.68505096435547,472.10931396484375,220.85462951660156,45.596336364746094,105.9922103881836
2023-01-23,139.64154052734375,76.52999877929688,244.88389587402344,99.4295654296875,299.6005554199219,130.47561645507812,142.7248077392578,238.6632537841797,78.1249008178711,19.179052352905273,118.74625396728516,471.2265930175781,220.7266387939453,46.27765655517578,105.44051361083984
2023-01-24,141.0467529296875,74.69999694824219,249.64202880859375,97.34710693359375,301.6993103027344,131.5972137451172,142.5952911376953,238.13197326660156,79.28727722167969,19.250995635986328,119.05709838867188,476.8428039550781,220.44110107421875,46.40093231201172,106.42235565185547
2023-01-25,140.38375854492188,74.91000366210938,250.4463653564453,94.87606811523438,301.2909851074219,132.23403930664062,140.96153259277344,236.72509765625,72.37915802001953,19.3089542388916,118.38832092285156,477.7157897949219,221.43553161621094,46.180320739746094,105.8613052368164
2023-01-26,142.46188354492188,75.16000366210938,254.01251220703125,97.16775512695312,298.0146179199219,133.051513671875,146.73947143554688,243.9957733154297,72.19961547851562,19.787607192993164,120.62064361572266,477.69635009765625,221.24847412109375,46.13814163208008,110.11595916748047
2023-01-27,144.411376953125,75.4000015258789,256.3576965332031,99.01107788085938,300.7496337890625,133.37466430664062,151.16256713867188,244.15318298339844,71.42469024658203,20.350196838378906,122.29724884033203,471.45941162109375,227.87478637695312,46.49177551269531,108.10552215576172
2023-01-30,141.51187133789062,72.44999694824219,253.41168212890625,96.58985900878906,298.4229431152344,132.2435760498047,146.50039672851562,238.7911834716797,70.92383575439453,19.148073196411133,120.36634063720703,471.2072448730469,225.57086181640625,46.11867904663086,106.1885757446289
2023-01-31,142.78843688964844,75.1500015258789,244.48658752441406,98.48298645019531,307.8531188964844,133.032470703125,148.40310668945312,243.808837890625,70.52691650390625,19.52280044555664,121.76976776123047,484.2049255371094,226.66372680664062,46.67671203613281,108.47955322265625
2023-02-01,143.91659545898438,84.63999938964844,241.82164001464844,100.06725311279297,311.57586669921875,132.68080139160156,152.5373077392578,248.66905212402344,70.15836334228516,20.927778244018555,123.29566955566406,482.0806884765625,227.34310913085938,46.93626022338867,107.2919921875
