Date,AAPL,ABBV,AMD,AMT,AMZN,APD,AXP,BA,BAC,BHP,CAT,CMCSA,COST,CVX,DE,DIS,DUK,EOG,EQR,FCX,GD,GOOG,HON,INTC,JNJ,JPM,KO,LIN,LMT,MCD,MDT,META,MLM,MRNA,MS,MSFT,NEE,NEM,NFLX,NVDA,PEP,PFE,PG,PLD,PLTR,PSA,SBUX,SCHW,SLB,SPG,TGT,TMUS,TSLA,UNH,V,VZ,WELL,WMT,XOM
2023-01-03,123.76846313476562,149.16409301757812,64.0199966430664,200.79376220703125,85.81999969482422,291.3193359375,142.92440795898438,195.38999938964844,31.691661834716797,56.646087646484375,230.39260864257812,33.525760650634766,437.3164367675781,160.497802734375,412.4310302734375,87.88431549072266,95.42789459228516,114.44461059570312,54.16181945800781,36.7583122253418,236.8072509765625,89.37885284423828,205.2865447998047,25.775144577026367,167.63490295410156,127.49030303955078,59.21615219116211,310.2228088378906,453.0630798339844,252.3624725341797,73.83557891845703,124.26530456542969,334.11895751953125,178.99000549316406,79.62261962890625,235.71170043945312,79.22113037109375,46.49227523803711,294.95001220703125,14.304594993591309,168.99176025390625,46.21043395996094,144.22686767578125,106.14353942871094,6.389999866485596,252.64369201660156,96.24755859375,79.40062713623047,49.282798767089844,105.03580474853516,142.74038696289062,136.42308044433594,108.0999984741211,503.07110595703125,204.19525146484375,34.42986297607422,63.45493698120117,46.589115142822266,99.5962142944336
2023-01-04,125.04503631591797,150.3674774169922,64.66000366210938,204.8438720703125,85.13999938964844,291.3383483886719,146.24688720703125,203.63999938964844,32.287471771240234,57.91001510620117,232.78448486328125,34.48714065551758,440.4809265136719,158.79122924804688,411.6436767578125,90.85758209228516,96.4493408203125,114.36184692382812,55.09151077270508,37.805233001708984,233.5876007080078,88.39239501953125,201.20570373535156,26.69120979309082,169.45997619628906,128.67916870117188,59.18793487548828,308.68316650390625,452.0858154296875,252.41978454589844,76.39237976074219,126.88532257080078,343.55401611328125,177.36000061035156,80.4864730834961,225.4009246826172,79.8448257446289,48.30207443237305,309.4100036621094,14.738280296325684,168.57728576660156,45.191749572753906,144.85488891601562,110.16547393798828,6.579999923706055,256.26495361328125,99.71258544921875,80.76692962646484,49.47418212890625,108.27069854736328,143.67172241210938,137.32577514648438,113.63999938964844,489.3555603027344,209.33486938476562,35.29661560058594,65.24626922607422,46.641021728515625,99.8860855102539
2023-01-05,123.71898651123047,150.1837615966797,62.33000183105469,198.41795349121094,83.12000274658203,286.8056640625,142.74716186523438,204.99000549316406,32.221275329589844,58.426658630371094,231.7428436279297,34.85472869873047,434.3352355957031,161.65084838867188,403.13818359375,90.79830169677734,95.02300262451172,114.38023376464844,52.9007453918457,38.61949920654297,233.0160369873047,86.45933532714844,195.87001037597656,26.575496673583984,168.20877075195312,128.65066528320312,58.510643005371094,297.69110107421875,452.6266174316406,250.2907257080078,75.50550079345703,126.45693969726562,333.9015808105469,173.50999450683594,79.80838775634766,218.72055053710938,78.08708953857422,48.020751953125,309.70001220703125,14.254632949829102,166.8158721923828,44.76805114746094,143.0564422607422,106.29424285888672,6.320000171661377,249.96226501464844,99.68395233154297,80.53437805175781,50.40242385864258,104.9285659790039,145.12046813964844,141.76072692871094,110.33999633789062,475.2519836425781,207.8579559326172,35.7857780456543,63.871971130371094,46.4820442199707,102.1209487915039
2023-01-06,128.2711181640625,152.99473571777344,63.959999084472656,204.376220703125,86.08000183105469,294.749755859375,146.3931121826172,213.0,32.542823791503906,60.92683410644531,240.01800537109375,35.712432861328125,465.86431884765625,162.8684844970703,414.55010986328125,92.7739028930664,96.78984069824219,117.22181701660156,54.640480041503906,40.98474884033203,236.47386169433594,87.84436798095703,201.42604064941406,27.703699111938477,169.57286071777344,131.1124725341797,59.63946533203125,308.0887145996094,448.9928283691406,257.2697448730469,76.28858947753906,129.5252227783203,346.9427185058594,180.35000610351562,81.33174133300781,221.29824829101562,79.05101013183594,49.4085807800293,315.54998779296875,14.848200798034668,170.58358764648438,45.903926849365234,146.46299743652344,109.87348175048828,6.400000095367432,255.0210418701172,101.84123229980469,81.9200439453125,52.15363693237305,106.22431182861328,150.66151428222656,145.7737579345703,113.05999755859375,475.29083251953125,214.3956756591797,36.20627212524414,66.13719940185547,47.620819091796875,103.35527038574219
2023-01-09,128.79559326171875,148.5027313232422,67.23999786376953,205.12448120117188,87.36000061035156,296.1656799316406,146.61732482910156,208.57000732421875,32.0510368347168,60.53935623168945,237.85760498046875,35.391971588134766,461.8894958496094,161.5955352783203,416.231689453125,93.613525390625,96.79904174804688,117.47930145263672,53.940895080566406,41.51789855957031,233.57806396484375,88.4820785522461,201.80921936035156,28.262981414794922,165.1794891357422,130.57066345214844,58.89632797241211,313.70172119140625,435.4729309082031,255.15029907226562,73.15628814697266,128.97732543945312,340.97540283203125,183.9499969482422,81.40605926513672,223.45289611816406,79.44792175292969,48.96785354614258,315.1700134277344,15.616641998291016,168.9163818359375,43.62315368652344,144.6741180419922,109.3177490234375,6.5,259.1214904785156,99.9798583984375,82.782470703125,53.24455261230469,105.73282623291016,147.086669921875,145.96998596191406,119.7699966430664,475.3490295410156,215.23260498046875,36.06070327758789,65.6538314819336,47.027099609375,101.4289779663086
2023-01-10,129.3695526123047,146.6470947265625,68.05000305175781,207.60317993164062,89.87000274658203,297.115966796875,148.17710876464844,206.69000244140625,32.268558502197266,61.609535217285156,241.60939025878906,35.7030029296875,464.4461364746094,162.38882446289062,425.2037048339844,94.39389038085938,97.01988983154297,117.35055541992188,54.0789680480957,43.340309143066406,235.7975311279297,88.92049407958984,202.45103454589844,28.38833999633789,164.7843780517578,131.73980712890625,58.44479751586914,313.808837890625,438.6039123535156,256.73516845703125,74.42996215820312,132.48391723632812,339.8194580078125,189.64999389648438,82.59500122070312,225.1549530029297,79.89208221435547,49.839942932128906,327.5400085449219,15.89743709564209,167.52232360839844,42.92900848388672,144.5313720703125,109.30834197998047,6.699999809265137,259.0938415527344,101.18258666992188,82.96658325195312,53.550777435302734,104.41920471191406,146.72918701171875,146.74510192871094,118.8499984741211,471.4109191894531,217.68423461914062,36.5662727355957,65.38844299316406,46.997901916503906,102.94383239746094
2023-01-11,132.100830078125,144.3781280517578,69.05999755859375,213.37435913085938,95.08999633789062,297.2109375,150.04881286621094,208.02999877929688,32.51445007324219,62.08928298950195,241.82156372070312,35.76897430419922,467.25360107421875,161.6139678955078,421.3641357421875,95.15449523925781,97.2315444946289,116.65166473388672,56.509071350097656,43.93162155151367,236.8929901123047,91.9296875,203.3706817626953,28.78369140625,164.52098083496094,132.71881103515625,58.331912994384766,321.2051086425781,439.2774963378906,256.6396789550781,75.77912139892578,132.38430786132812,350.7068786621094,186.63999938964844,83.0687255859375,231.96324157714844,80.3267822265625,49.192901611328125,327.260009765625,15.98936939239502,167.71070861816406,42.7757568359375,143.36094665527344,113.92369079589844,6.980000019073486,270.602783203125,101.46896362304688,80.83477020263672,53.89528274536133,108.44942474365234,149.5514678955078,145.99940490722656,123.22000122070312,478.5887145996094,218.67868041992188,35.89509201049805,68.0801773071289,47.409934997558594,104.1407470703125
2023-01-12,132.0216827392578,141.16026306152344,70.80000305175781,217.19998168945312,95.2699966430664,294.77825927734375,151.02365112304688,214.32000732421875,32.59956741333008,63.6484260559082,246.0073699951172,36.46644973754883,465.4398498535156,163.3481903076172,423.90118408203125,98.59202575683594,96.69780731201172,119.96221923828125,56.62873840332031,43.86354064941406,235.94993591308594,91.58094024658203,206.89588928222656,29.207977294921875,163.69309997558594,132.58575439453125,57.57936096191406,320.51324462890625,438.08209228515625,254.61561584472656,75.33568572998047,136.1897735595703,347.3477478027344,188.05999755859375,84.09048461914062,234.65899658203125,80.3929443359375,50.074371337890625,330.1300048828125,16.49899673461914,165.57254028320312,43.01013946533203,142.55215454101562,115.02571868896484,7.010000228881836,272.823486328125,101.03939819335938,80.89290618896484,55.50295639038086,112.58686828613281,150.28521728515625,147.08853149414062,123.55999755859375,480.7906494140625,220.17526245117188,36.44424057006836,68.33609008789062,46.98167419433594,105.87065887451172
2023-01-13,133.3576202392578,142.4400177001953,71.0,217.76119995117188,98.12000274658203,295.9090576171875,151.84251403808594,214.1300048828125,33.318328857421875,63.91597366333008,249.27687072753906,36.692657470703125,468.1605529785156,163.7909698486328,427.3422546386719,98.1870346069336,96.60578155517578,119.80953216552734,55.800296783447266,43.81490707397461,228.8914337158203,92.46775817871094,207.4993896484375,29.034404754638672,163.15684509277344,135.93150329589844,57.786312103271484,325.5804443359375,426.78228759765625,256.7160949707031,76.03384399414062,136.458740234375,351.0920715332031,192.0,85.14010620117188,235.3673553466797,80.02438354492188,50.9651985168457,332.82000732421875,16.88671875,165.0638885498047,43.136348724365234,143.5703125,114.81848907470703,6.960000038146973,268.0227355957031,102.35670471191406,80.40840911865234,55.770896911621094,112.2115478515625,154.84786987304688,146.8628387451172,122.4000015258789,474.873779296875,219.6239013671875,36.48782730102539,67.43568420410156,47.137413024902344,105.80520629882812
2023-01-17,134.52532958984375,141.72593688964844,71.58999633789062,216.11497497558594,96.05000305175781,291.1388244628906,149.883056640625,211.41000366210938,32.6468620300293,62.51366424560547,247.15509033203125,36.702083587646484,469.6269836425781,166.49375915527344,425.9522399902344,98.69080352783203,95.90641784667969,120.36480712890625,56.49066162109375,42.939579010009766,229.70114135742188,91.83004760742188,203.31320190429688,28.542625427246094,162.15025329589844,133.83090209960938,58.021488189697266,321.575439453125,424.2491760253906,261.6996765136719,75.80741882324219,134.8448944091797,348.8395690917969,190.69000244140625,90.17456817626953,236.46926879882812,81.02610778808594,49.20228958129883,326.2200012207031,17.68913459777832,165.8362579345703,41.54071044921875,143.15159606933594,114.36637115478516,7.070000171661377,268.6954040527344,101.89851379394531,80.90259552001953,55.943145751953125,111.72006225585938,152.4960174560547,144.2136688232422,131.49000549316406,470.51849365234375,219.56480407714844,35.60744094848633,67.96643829345703,46.851898193359375,105.59947204589844
