Date,AAPL,ABBV,AMD,AMT,AMZN,APD,AXP,BA,BAC,BHP,CAT,CMCSA,COST,CVX,DE,DIS,DUK,EOG,EQR,FCX,GD,GOOG,HON,INTC,JNJ,JPM,KO,LIN,LMT,MCD,MDT,META,MLM,MO,MRNA,MS,MSFT,NEE,NEM,NFLX,NVDA,PEP,PFE,PG,PLD,PLTR,PSA,SBUX,SCHW,SLB,SPG,TGT,TMUS,TSLA,UNH,V,VZ,WELL,WMT,XOM
2023-01-03,123.7684555053711,149.1641082763672,64.0199966430664,200.79376220703125,85.81999969482422,291.3193664550781,142.92442321777344,195.38999938964844,31.69165802001953,56.646087646484375,230.39259338378906,33.52576446533203,437.31646728515625,160.497802734375,412.4309997558594,87.88430786132812,95.42788696289062,114.44462585449219,54.16181564331055,36.75831985473633,236.80726623535156,89.37884521484375,205.2865447998047,25.775146484375,167.6348876953125,127.49032592773438,59.216156005859375,310.22283935546875,453.0630798339844,252.3625030517578,73.8355712890625,124.26531219482422,334.11895751953125,38.41495132446289,178.99000549316406,79.62262725830078,235.71170043945312,79.22112274169922,46.492271423339844,294.95001220703125,14.304595947265625,168.99172973632812,46.210426330566406,144.2268829345703,106.1435317993164,6.389999866485596,252.6436767578125,96.24756622314453,79.40062713623047,49.28279113769531,105.03580474853516,142.74037170410156,136.42308044433594,108.0999984741211,503.0711364746094,204.1952667236328,34.42986297607422,63.454933166503906,46.58911895751953,99.5962142944336
2023-01-04,125.0450439453125,150.36749267578125,64.66000366210938,204.84388732910156,85.13999938964844,291.33837890625,146.2468719482422,203.63999938964844,32.287471771240234,57.91001510620117,232.7844696044922,34.48714065551758,440.4809265136719,158.791259765625,411.6436767578125,90.85758209228516,96.4493408203125,114.36184692382812,55.09151840209961,37.805233001708984,233.5875701904297,88.39240264892578,201.20571899414062,26.69120979309082,169.45999145507812,128.67918395996094,59.187931060791016,308.68316650390625,452.0858459472656,252.41976928710938,76.39237213134766,126.88530731201172,343.5539245605469,38.32212448120117,177.36000061035156,80.48646545410156,225.4009246826172,79.84483337402344,48.30207824707031,309.4100036621094,14.738280296325684,168.57728576660156,45.191749572753906,144.85487365722656,110.16546630859375,6.579999923706055,256.26495361328125,99.71258544921875,80.76692199707031,49.47418975830078,108.27069854736328,143.67173767089844,137.32579040527344,113.63999938964844,489.3555603027344,209.33486938476562,35.2966194152832,65.24627685546875,46.641021728515625,99.8860855102539
2023-01-05,123.71897888183594,150.18377685546875,62.33000183105469,198.41795349121094,83.12000274658203,286.8056335449219,142.74717712402344,204.99000549316406,32.221275329589844,58.42665481567383,231.7428741455078,34.85472869873047,434.33526611328125,161.65086364746094,403.1382141113281,90.79830169677734,95.02297973632812,114.38024139404297,52.9007453918457,38.6194953918457,233.0160369873047,86.45934295654297,195.87001037597656,26.575496673583984,168.2087860107422,128.6506805419922,58.510643005371094,297.69110107421875,452.62664794921875,250.29074096679688,75.5055160522461,126.45694732666016,333.9015808105469,38.288368225097656,173.50999450683594,79.80841064453125,218.72055053710938,78.08710479736328,48.020751953125,309.70001220703125,14.254631996154785,166.8158721923828,44.76804733276367,143.05645751953125,106.29425048828125,6.320000171661377,249.9622802734375,99.68394470214844,80.53437042236328,50.40242004394531,104.9285659790039,145.12049865722656,141.76071166992188,110.33999633789062,475.25201416015625,207.8579559326172,35.78577423095703,63.87197494506836,46.4820442199707,102.12095642089844
2023-01-06,128.27110290527344,152.99472045898438,63.959999084472656,204.37619018554688,86.08000183105469,294.7497863769531,146.39309692382812,213.0,32.542823791503906,60.92683029174805,240.01800537109375,35.71242904663086,465.8643493652344,162.86851501464844,414.550048828125,92.7739028930664,96.78984832763672,117.22181701660156,54.640472412109375,40.98474884033203,236.47384643554688,87.84437561035156,201.42604064941406,27.703699111938477,169.57289123535156,131.11245727539062,59.639469146728516,308.0887451171875,448.9928283691406,257.269775390625,76.28858947753906,129.5252227783203,346.9427185058594,39.19979476928711,180.35000610351562,81.33173370361328,221.29824829101562,79.05101013183594,49.40858459472656,315.54998779296875,14.848199844360352,170.58360290527344,45.903926849365234,146.46302795410156,109.87348175048828,6.400000095367432,255.0210723876953,101.84123992919922,81.9200439453125,52.15363311767578,106.22431182861328,150.6614990234375,145.77374267578125,113.05999755859375,475.29083251953125,214.39569091796875,36.20627212524414,66.13719177246094,47.620819091796875,103.35527801513672
2023-01-09,128.79559326171875,148.50271606445312,67.23999786376953,205.12451171875,87.36000061035156,296.16571044921875,146.61732482910156,208.57000732421875,32.0510368347168,60.53935623168945,237.8575897216797,35.3919677734375,461.88946533203125,161.5955047607422,416.23175048828125,93.613525390625,96.79904174804688,117.47930145263672,53.940895080566406,41.51789855957031,233.5780487060547,88.4820785522461,201.80921936035156,28.262983322143555,165.1794891357422,130.5706787109375,58.89632034301758,313.7016296386719,435.47296142578125,255.15028381347656,73.15628814697266,128.97732543945312,340.97540283203125,38.80315399169922,183.9499969482422,81.40605163574219,223.452880859375,79.44792938232422,48.967857360839844,315.1700134277344,15.6166410446167,168.91636657714844,43.6231575012207,144.674072265625,109.31774139404297,6.5,259.1214599609375,99.9798583984375,82.782470703125,53.24455642700195,105.73281860351562,147.08668518066406,145.969970703125,119.7699966430664,475.3489990234375,215.2325897216797,36.06071090698242,65.65381622314453,47.027103424072266,101.42898559570312
2023-01-10,129.3695526123047,146.64712524414062,68.05000305175781,207.60317993164062,89.87000274658203,297.1159362792969,148.17706298828125,206.69000244140625,32.268558502197266,61.609535217285156,241.60939025878906,35.703006744384766,464.44610595703125,162.38880920410156,425.2037353515625,94.39389038085938,97.01988983154297,117.35057067871094,54.07897186279297,43.340301513671875,235.7975311279297,88.92050170898438,202.45103454589844,28.388338088989258,164.7843780517578,131.73980712890625,58.44479751586914,313.8088684082031,438.6038513183594,256.73516845703125,74.42996215820312,132.4839324951172,339.8194580078125,38.81159210205078,189.64999389648438,82.5949935913086,225.1549530029297,79.89208984375,49.83993911743164,327.5400085449219,15.89743709564209,167.5223388671875,42.92900466918945,144.53135681152344,109.308349609375,6.699999809265137,259.0938415527344,101.18258666992188,82.96659088134766,53.55077362060547,104.41920471191406,146.72918701171875,146.74510192871094,118.8499984741211,471.4109191894531,217.68423461914062,36.56626892089844,65.38844299316406,46.99790573120117,102.9438247680664
2023-01-11,132.10086059570312,144.3781280517578,69.05999755859375,213.3743438720703,95.08999633789062,297.2109375,150.0487823486328,208.02999877929688,32.51445770263672,62.08928298950195,241.82156372070312,35.768985748291016,467.25360107421875,161.61395263671875,421.3641662597656,95.15449523925781,97.23153686523438,116.65165710449219,56.50907516479492,43.93161392211914,236.89297485351562,91.92969512939453,203.3706512451172,28.78369140625,164.52096557617188,132.7188262939453,58.331912994384766,321.205078125,439.27752685546875,256.63970947265625,75.77912139892578,132.38430786132812,350.7068786621094,38.668128967285156,186.63999938964844,83.06873321533203,231.96322631835938,80.32679748535156,49.19290542602539,327.260009765625,15.98936939239502,167.710693359375,42.77574920654297,143.36094665527344,113.92369079589844,6.980000019073486,270.60284423828125,101.4689712524414,80.83474731445312,53.89527893066406,108.44941711425781,149.55142211914062,145.99940490722656,123.22000122070312,478.5887451171875,218.6786651611328,35.89509201049805,68.0801773071289,47.409934997558594,104.1407470703125
2023-01-12,132.02166748046875,141.1602783203125,70.80000305175781,217.19996643066406,95.2699966430664,294.7782897949219,151.0236358642578,214.32000732421875,32.59956741333008,63.6484260559082,246.0073699951172,36.466453552246094,465.4398193359375,163.34817504882812,423.90118408203125,98.59203338623047,96.69781494140625,119.96222686767578,56.62873840332031,43.86353302001953,235.94993591308594,91.58094787597656,206.8958740234375,29.207977294921875,163.69308471679688,132.58575439453125,57.57936096191406,320.5132141113281,438.08209228515625,254.61561584472656,75.335693359375,136.18975830078125,347.3477478027344,38.313682556152344,188.05999755859375,84.09048461914062,234.65896606445312,80.3929443359375,50.07437515258789,330.1300048828125,16.498998641967773,165.57252502441406,43.01013946533203,142.5521240234375,115.02571105957031,7.010000228881836,272.8234558105469,101.03941345214844,80.89289855957031,55.50294876098633,112.58686828613281,150.2852325439453,147.08853149414062,123.55999755859375,480.7906494140625,220.17526245117188,36.44424057006836,68.33609008789062,46.98168182373047,105.87065887451172
2023-01-13,133.3575897216797,142.4399871826172,71.0,217.7611846923828,98.12000274658203,295.9090881347656,151.84249877929688,214.1300048828125,33.31832504272461,63.915977478027344,249.27691650390625,36.692665100097656,468.16058349609375,163.7909393310547,427.3422546386719,98.1870346069336,96.60580444335938,119.80953216552734,55.800296783447266,43.81490707397461,228.89144897460938,92.46775817871094,207.4993896484375,29.034404754638672,163.15684509277344,135.93150329589844,57.78631591796875,325.58050537109375,426.7822570800781,256.7160339355469,76.03385925292969,136.458740234375,351.09210205078125,38.49934768676758,192.0,85.1401138305664,235.3673553466797,80.02438354492188,50.9651985168457,332.82000732421875,16.88671875,165.06387329101562,43.1363410949707,143.57029724121094,114.8185043334961,6.960000038146973,268.022705078125,102.35669708251953,80.40840148925781,55.77090072631836,112.21155548095703,154.84788513183594,146.8628387451172,122.4000015258789,474.8737487792969,219.62388610839844,36.487823486328125,67.43567657470703,47.13740539550781,105.80521392822266
2023-01-17,134.5253448486328,141.7259521484375,71.58999633789062,216.11497497558594,96.05000305175781,291.1387939453125,149.883056640625,211.41000366210938,32.646854400634766,62.513668060302734,247.15512084960938,36.70208740234375,469.6269836425781,166.49374389648438,425.9522399902344,98.69081115722656,95.90641021728516,120.36480712890625,56.490665435791016,42.93958282470703,229.7011260986328,91.8300552368164,203.31320190429688,28.54262351989746,162.15025329589844,133.83090209960938,58.021488189697266,321.5754089355469,424.2491149902344,261.6997375488281,75.80742645263672,134.84490966796875,348.839599609375,38.111141204833984,190.69000244140625,90.17457580566406,236.46926879882812,81.02611541748047,49.202293395996094,326.2200012207031,17.68913459777832,165.83624267578125,41.540714263916016,143.151611328125,114.36636352539062,7.070000171661377,268.6953430175781,101.89849853515625,80.90258026123047,55.94314956665039,111.72006225585938,152.49600219726562,144.21365356445312,131.49000549316406,470.51849365234375,219.56480407714844,35.607444763183594,67.96644592285156,46.851898193359375,105.59947967529297
