Date,BHP,CVX,EBAY,EOG,LMT,MAR,MCD,MRNA,NFLX,OKTA,PFE,PLTR,SBUX,TGT,TM
2023-01-03,56.646087646484375,160.49781799316406,40.399574279785156,114.44461059570312,453.06304931640625,144.76724243164062,252.3625030517578,178.99000549316406,294.95001220703125,69.55000305175781,46.210426330566406,6.389999866485596,96.24756622314453,142.74038696289062,138.27999877929688
2023-01-04,57.91001510620117,158.791259765625,41.300533294677734,114.3618392944336,452.08587646484375,146.83465576171875,252.41981506347656,177.36000061035156,309.4100036621094,70.18000030517578,45.19174575805664,6.579999923706055,99.71257781982422,143.67173767089844,137.19000244140625
2023-01-05,58.42665481567383,161.65087890625,41.31011962890625,114.3802490234375,452.6266174316406,145.87445068359375,250.29071044921875,173.50999450683594,309.70001220703125,66.76000213623047,44.76805114746094,6.320000171661377,99.68394470214844,145.12049865722656,135.52000427246094
2023-01-06,60.92683029174805,162.86851501464844,43.23664855957031,117.22181701660156,448.9928283691406,150.28358459472656,257.269775390625,180.35000610351562,315.54998779296875,68.02999877929688,45.90392303466797,6.400000095367432,101.84123229980469,150.66151428222656,138.97000122070312
2023-01-09,60.53935623168945,161.5955047607422,41.712684631347656,117.47930908203125,435.4730224609375,149.4507598876953,255.1503143310547,183.9499969482422,315.1700134277344,69.0199966430664,43.62314987182617,6.5,99.9798583984375,147.08668518066406,139.94000244140625
2023-01-10,61.609535217285156,162.38882446289062,43.21747589111328,117.35055541992188,438.6039123535156,150.06805419921875,256.7351379394531,189.64999389648438,327.5400085449219,67.98999786376953,42.92900466918945,6.699999809265137,101.18258666992188,146.72918701171875,139.13999938964844
2023-01-11,62.08928298950195,161.6139678955078,44.67435836791992,116.65165710449219,439.2774963378906,155.2708282470703,256.6396789550781,186.63999938964844,327.260009765625,64.9000015258789,42.775753021240234,6.980000019073486,101.46896362304688,149.5514678955078,138.85000610351562
2023-01-12,63.6484260559082,163.3481903076172,44.501827239990234,119.96222686767578,438.08209228515625,156.7601776123047,254.61561584472656,188.05999755859375,330.1300048828125,65.8499984741211,43.0101318359375,7.010000228881836,101.03942108154297,150.28524780273438,142.36000061035156
2023-01-13,63.915977478027344,163.7909698486328,44.338890075683594,119.80953979492188,426.78228759765625,158.5140380859375,256.7160339355469,192.0,332.82000732421875,69.76000213623047,43.13634490966797,6.960000038146973,102.35669708251953,154.84786987304688,140.3000030517578
2023-01-17,62.513668060302734,166.49375915527344,44.82770919799805,120.36480712890625,424.2491455078125,157.739990234375,261.69970703125,190.69000244140625,326.2200012207031,71.12000274658203,41.540714263916016,7.070000171661377,101.89852142333984,152.49600219726562,144.77000427246094
2023-01-18,62.79043197631836,163.48654174804688,44.070518493652344,119.1894760131836,418.6608581542969,156.5641632080078,253.99505615234375,197.02000427246094,326.3299865722656,68.58999633789062,40.567100524902344,6.900000095367432,100.22803497314453,151.30123901367188,145.50999450683594
2023-01-19,63.546939849853516,165.11929321289062,43.6487922668457,121.50309753417969,416.8013000488281,157.7791748046875,251.64642333984375,190.3800048828125,315.7799987792969,67.66999816894531,40.53104019165039,6.730000019073486,99.52167510986328,149.6737518310547,144.17999267578125
2023-01-20,64.08203125,166.8719482421875,44.72228240966797,122.85429382324219,420.5679016113281,163.54046630859375,256.4200134277344,193.97999572753906,342.5,68.69999694824219,40.666259765625,7.019999980926514,100.26622772216797,152.5994873046875,146.11000061035156
2023-01-23,64.00822448730469,166.6505889892578,45.68075180053711,124.17768859863281,418.6703796386719,165.60787963867188,257.0979309082031,196.94000244140625,357.4200134277344,69.83000183105469,40.549072265625,7.380000114440918,101.38304901123047,154.87611389160156,146.02999877929688
2023-01-24,64.35881042480469,166.80740356445312,44.75102996826172,122.86351776123047,426.21307373046875,166.20555114746094,257.355712890625,196.75999450683594,363.8299865722656,68.69999694824219,40.3056640625,7.019999980926514,101.79351806640625,153.86009216308594,146.00999450683594
2023-01-25,65.28138732910156,165.19308471679688,46.898014068603516,122.62289428710938,430.8904724121094,168.85104370117188,260.6399841308594,193.07000732421875,367.9599914550781,67.95999908447266,40.63020706176758,7.21999979019165,102.1180648803711,154.48098754882812,146.14999389648438
2023-01-26,65.72422790527344,173.2276611328125,47.11845779418945,125.7972183227539,436.2509460449219,171.05560302734375,262.2821044921875,193.24000549316406,364.8699951171875,69.98999786376953,40.25719451904297,7.239999771118164,103.81716918945312,157.1339111328125,145.47000122070312
2023-01-27,64.46952056884766,165.53440856933594,46.96510314941406,124.62189483642578,436.0517578125,170.8106689453125,260.1243591308594,189.35000610351562,360.7699890136719,71.37999725341797,39.83871078491211,7.550000190734863,104.06533813476562,158.52621459960938,147.16000366210938
2023-01-30,64.27577209472656,160.69151306152344,46.85967254638672,122.25273132324219,436.9910583496094,167.7438507080078,258.62548828125,180.8699951171875,353.1099853515625,69.20999908447266,39.620365142822266,7.369999885559082,103.47351837158203,158.68612670898438,145.17999267578125
2023-01-31,64.71862030029297,160.52545166015625,47.4443359375,122.39155578613281,439.5242004394531,170.66368103027344,255.2935333251953,176.05999755859375,353.8599853515625,73.61000061035156,40.17531967163086,7.78000020980835,104.17989349365234,161.94114685058594,147.11000061035156
2023-02-01,64.6724853515625,158.07174682617188,48.30696105957031,117.8012924194336,438.5659484863281,171.8198699951172,254.2146453857422,174.3000030517578,361.989990234375,76.1500015258789,40.002464294433594,8.199999809265137,104.99125671386719,166.58848571777344,148.5800018310547
